id,incipit,cantus_id,mode,finalis,differentia,siglum,position,folio,sequence,marginalia,cao_concordances,feast_id,genre_id,office_id,source_id,melody_id,drupal_path,full_text,full_text_manuscript,volpiano,notes
chant_001621,A porta inferi erue domine,001191,2,,D1,CH-Fco 2,4,108r,3.0,,,feast_1497,genre_a,office_l,source_477,,http://cantus.uwaterloo.ca/chant/255011/,A porta inferi erue domine animam meam,A porta inferi erue domine animam meam | ~Ego dixi | euouae,1---c---cd--fe---d--fe--dc---fg--h--g---fg--f--f---fg--e--fe---d--d---4---c7--d--f--f---3---f--f--f--e--c--d---3,
chant_002755,A timore inimici eripe domine,001196,2,,*,F-Pn lat. 15181,1.5,045v,1.0,,,feast_0696,genre_a,office_m,source_447,,http://cantus.uwaterloo.ca/chant/408251/,A timore inimici eripe domine animam meam,A timore inimici eripe domine animam meam,1---f---f--fe--d---f--f--fe--d----d--c--d7---d--c--d---c--d--efe---d--d7---4,
chant_004449,Absterget deus omnem lacrimam ab,001212,7,,*,D-KA Aug. LX,2M,169v,18.0,,,feast_0227,genre_a,office_v,source_414,,http://cantus.uwaterloo.ca/chant/618498/,Absterget deus omnem lacrimam ab oculis sanctorum et jam non erit amplius neque luctus neque clamor sed nec ullus dolor quoniam priora transierunt,Absterget deus omnem lacrimam ab oculis sanctorum et iam non erit amplius neque luctus neque clamor sed nec ullus dolor quoniam priora transierunt,1---g--gkJ--k---l--kj---h--j---kl--khg--g---h---g--f--hjkjhg---hk--g--g---g---gkj---k---l--lml---kJ--kl--l---n--n77---m--l---m--lm---nlk--jkhg---k---k--lk---hG--hk---g--g---h--g--f---hk--jh--jkj---hG--hkh--g--g7---3,
chant_006774,Ad hanc vocem Christi martyris,001244,1,,8,F-Pn lat. 12044,3,045v,1.0,,,feast_0581,genre_a,office_l,source_014,,http://cantus.uwaterloo.ca/chant/399384/,Ad hanc vocem Christi martyris Sebastiani illico apertum est os uxoris Nicostrati,Ad hanc vocem xpisti martiris sebastiani ilico apertum est os uxoris nicostrati | Seuouae,1---dc---fg---fgh--hg---f--g7---h--g--e---f--g--fe--d-efe--dc---c--d--f---f--fG--f---f---f---f--f--ef---g--fe--d--d---4---h--h--g--f--gh--gf---3,
chant_009555,Adhuc loquente Petro cecidit spiritus,001274,1,,2,F-Pn lat. 12044,2.3,152r,4.0,,,feast_1343,genre_a,office_m,source_014,,http://cantus.uwaterloo.ca/chant/401955/,Adhuc loquente Petro cecidit spiritus sanctus super omnes qui audiebant verbum et erant loquentes linguis et magnificantes deum tunc Petrus jussit eos baptizari in nomine domini Jesu Christi,Adhuc loquente petro cecidit spiritus sanctus supeR omnes qui audiebant verbum et erant loquentes linguis et magnificantes deum tunc petrus iussit eos baptizari in nomine domini hiesu xpisti | ~Dominus regnavit | Seuouae,1---cd-fg--fed---d--df--dc---fg-hij--h---h--gh--h7---hhg--fe--fgf---d--d---c--df---fd-edd--c---c---d--ef--gh--fe---d--d---h---h--g---h--kl--kIj---h--h---h---k--l--k7--l--kj---h--h---hg-gF---gh--hgg---f--g---h--gf---g--fe--d--d---d---dgf-gh--g--g---hgfg--fe--dc---d--efe---d--d---4---f--gh--h---h--h--h7---3---h--h--g--f--g--gfe---3,
chant_010885,Adjuvabit eam deus vultu suo,001282,7,,4,F-Pn lat. 15181,2.2,536r,8.0,,,feast_0234,genre_a,office_m,source_447,,http://cantus.uwaterloo.ca/chant/413049/,Adjuvabit eam deus vultu suo deus in medio ejus non commovebitur,Adiuvabit eam deus vultu suo deus in medio eius non commovebitur | euouae | ~Deus noster refugium,1---l--j--l--m---l--l---l--j7---kl--kj---g--g---k--k---k---k--k--h---k--jh7---gh---j--h--g--g--g---4---l--l--m--l--k--j7---3---kj--kl---l--l---l---3,
chant_011882,Admoniti magi in somnis ab,001284,1,,F1,CH-Fco 2,10,044v,6.0,,,feast_0553,genre_a,office_e,source_477,,http://cantus.uwaterloo.ca/chant/253973/,Admoniti magi in somnis ab angelo per aliam viam reversi sunt in regionem suam,Admoniti magi in sompnis ab angelo per aliam viam reversi sunt in regionem suam | euouae,1---d--dc--f--g---fgh--h---h---jh--g---g---f--gh--g---g---g7--e--g---hg--f---hg--f---g--fE--cd---d---d--g--ed--fE---d--d---4---h--h--g--f--gh--gf7---3,
chant_012963,Adorate dominum alleluia omnes angeli,001289,6,,F1,D-KNd 1161,2.4,026v,4.0,,,feast_0552,genre_a,office_m,source_067,,http://cantus.uwaterloo.ca/chant/602389/,Adorate dominum alleluia omnes angeli ejus alleluia,Adorate dominum alleluia omnes angeli eius alleluia | euouae | ~Dominus regna{vit},1---f--f--f--e---g--g--h---f--fe7--d--c---f--f---f--f--e---g--h---h--hg--g--f---4---h--h--f--gh--g--f---3---h--h--h--h--j---3,
chant_016407,Afra priscam Rahab Jerichontem secuta,001304,1,,A1,CH-E 611,2.3,206v,8.0,,,feast_0028,genre_a,office_m,source_564,,http://cantus.uwaterloo.ca/chant/232141/,Afra priscam Rahab Jerichontem secuta veri Jesu legatos ad supplicia a persecutoribus requisita sub lini fasciculis supernae civitatis futura civis occultavit,Afra priscam raab iherichontem secuta veri ihesu legatos ad supplicia a persecutoribus requisita sub lini fasciculis superne civitatis futura civis occultavit | euouae,1---dh--h---kj--hF---gh--h---h--g--fE--d---cdfg--cd--d---h--g77---h--kl---gh--h--h---hK---l--klm--lk--l---l---k--l--j--h--g--hj---hgfg--cd--d--d---a---cd--d---fede--c--cd7--d---h--kl--h---g--f--gh--h---h--gfed--cd---d--d---adcba--cdfedc--d--d---4---h--h--hg--f--gh--gh7---3,
chant_018028,Alias oves habeo quae non,001320,8,,*,D-KA Aug. LX,8,099v,8.0,,,feast_0419,genre_a,office_e,source_414,,http://cantus.uwaterloo.ca/chant/617020/,Alias oves habeo quae non sunt ex hoc ovili et illas oportet me adducere et vocem meam audient et fiet unum ovile et unus pastor alleluia,Alias oves habeo que non sunt ex hoc ovili et illas oportet me adducere et vocem meam audient et fiet unum ovile et unus pastor alleluia,1---g--g--ed---e--g---g--gh-hg--g---fj---j---h---j---k---h--g--g---jk---l--k---kj--hh--h---g7---gh--f--ffede--fd---dd---g--h---j--hj---g--ghg--g---jklkjhg---h--hk---hg--e---fg--ffede--fd---ghjkjh---j--hj7---g--gh---k--hk--g--g7---3,
