id,words,syllables,neumes,1-mer,2-mer,3-mer,4-mer,5-mer,6-mer,7-mer,8-mer,9-mer,10-mer,11-mer,12-mer,13-mer,14-mer,15-mer,16-mer,poisson-3,poisson-5,poisson-7
chant_004449,ggkJk lkj hj klkhgg h gfhjkjhg hkgg g gkj k llml kJkll nn ml mlm nlkjkhg k klk hGhk gg hgf hkjhjkj hGhkhgg,g gkJ k l kj h j kl khg g h g f hjkjhg hk g g g gkj k l lml kJ kl l n n m l m lm nlk jkhg k k lk hG hk g g h g f hk jh jkj hG hkh g g,g gkJ k l kj h j kl khg g h g f hjkjhg hk g g g gkj k l lml kJ kl l n n m l m lm nlk jkhg k k lk hG hk g g h g f hk jh jkj hG hkh g g,g g k J k l k j h j k l k h g g h g f h j k j h g h k g g g g k j k l l m l k J k l l n n m l m l m n l k j k h g k k l k h G h k g g h g f h k j h j k j h G h k h g g,gg kJ kl kj hj kl kh gg hg fh jk jh gh kg gg gk jk ll ml kJ kl ln nm lm lm nl kj kh gk kl kh Gh kg gh gf hk jh jk jh Gh kh gg,ggk Jkl kjh jkl khg ghg fhj kjh ghk ggg gkj kll mlk Jkl lnn mlm lmn lkj khg kkl khG hkg ghg fhk jhj kjh Ghk hgg,ggkJ klkj hjkl khgg hgfh jkjh ghkg gggk jkll mlkJ klln nmlm lmnl kjkh gkkl khGh kggh gfhk jhjk jhGh khgg,ggkJk lkjhj klkhg ghgfh jkjhg hkggg gkjkl lmlkJ kllnn mlmlm nlkjk hgkkl khGhk gghgf hkjhj kjhGh khgg,ggkJkl kjhjkl khgghg fhjkjh ghkggg gkjkll mlkJkl lnnmlm lmnlkj khgkkl khGhkg ghgfhk jhjkjh Ghkhgg,ggkJklk jhjklkh gghgfhj kjhghkg gggkjkl lmlkJkl lnnmlml mnlkjkh gkklkhG hkgghgf hkjhjkj hGhkhgg,ggkJklkj hjklkhgg hgfhjkjh ghkggggk jkllmlkJ kllnnmlm lmnlkjkh gkklkhGh kgghgfhk jhjkjhGh khgg,ggkJklkjh jklkhgghg fhjkjhghk ggggkjkll mlkJkllnn mlmlmnlkj khgkklkhG hkgghgfhk jhjkjhGhk hgg,ggkJklkjhj klkhgghgfh jkjhghkggg gkjkllmlkJ kllnnmlmlm nlkjkhgkkl khGhkgghgf hkjhjkjhGh khgg,ggkJklkjhjk lkhgghgfhjk jhghkggggkj kllmlkJklln nmlmlmnlkjk hgkklkhGhkg ghgfhkjhjkj hGhkhgg,ggkJklkjhjkl khgghgfhjkjh ghkggggkjkll mlkJkllnnmlm lmnlkjkhgkkl khGhkgghgfhk jhjkjhGhkhgg,ggkJklkjhjklk hgghgfhjkjhgh kggggkjkllmlk Jkllnnmlmlmnl kjkhgkklkhGhk gghgfhkjhjkjh Ghkhgg,ggkJklkjhjklkh gghgfhjkjhghkg gggkjkllmlkJkl lnnmlmlmnlkjkh gkklkhGhkgghgf hkjhjkjhGhkhgg,ggkJklkjhjklkhg ghgfhjkjhghkggg gkjkllmlkJkllnn mlmlmnlkjkhgkkl khGhkgghgfhkjhj kjhGhkhgg,ggkJklkjhjklkhgg hgfhjkjhghkggggk jkllmlkJkllnnmlm lmnlkjkhgkklkhGh kgghgfhkjhjkjhGh khgg,g gkJ kl kjh jkl kh gghgf hj kj h gh k gg gg kjkl lml kJkll nnm lmlmn lkj k hg kklkhG hkg g hgfh kj hjkj hGh k hgg,ggkJ klkjh jklkhg ghgfhj kjhgh kggggkj kllml kJkll nnmlmlmn lkjkhgkk lkhGhkggh gfhkjh jkjhG hkhgg,ggkJklkjh jkl khgghgfh jkjhghkg gggkj kllmlkJkl lnnmlmlmnlkj khgkk lkhGhk gghgfhkjhj kjhGhkh gg
chant_006774,dc fg fghhg fg hge fgfedefedc cdf ffGf f f ffef gfedd hhgfghgf,dc fg fgh hg f g h g e f g fe defe dc c d f f fG f f f f f ef g fe d d h h g f gh gf,dc fg fgh hg f g h g e f g fe d efe dc c d f f fG f f f f f ef g fe d d h h g f gh gf,d c f g f g h h g f g h g e f g f e d e f e d c c d f f f G f f f f f e f g f e d d h h g f g h g f,dc fg fg hh gf gh ge fg fe de fe dc cd ff fG ff ff fe fg fe dd hh gf gh gf,dcf gfg hhg fgh gef gfe def edc cdf ffG fff ffe fgf edd hhg fgh gf,dcfg fghh gfgh gefg fede fedc cdff fGff fffe fgfe ddhh gfgh gf,dcfgf ghhgf ghgef gfede fedcc dfffG fffff efgfe ddhhg fghgf,dcfgfg hhgfgh gefgfe defedc cdfffG fffffe fgfedd hhgfgh gf,dcfgfgh hgfghge fgfedef edccdff fGfffff efgfedd hhgfghg f,dcfgfghh gfghgefg fedefedc cdfffGff fffefgfe ddhhgfgh gf,dcfgfghhg fghgefgfe defedccdf ffGfffffe fgfeddhhg fghgf,dcfgfghhgf ghgefgfede fedccdfffG fffffefgfe ddhhgfghgf,dcfgfghhgfg hgefgfedefe dccdfffGfff ffefgfeddhh gfghgf,dcfgfghhgfgh gefgfedefedc cdfffGfffffe fgfeddhhgfgh gf,dcfgfghhgfghg efgfedefedccd fffGfffffefgf eddhhgfghgf,dcfgfghhgfghge fgfedefedccdff fGfffffefgfedd hhgfghgf,dcfgfghhgfghgef gfedefedccdfffG fffffefgfeddhhg fghgf,dcfgfghhgfghgefg fedefedccdfffGff fffefgfeddhhgfgh gf,dcf gf gh hgf ghge fgf edefe dccd fffG fff ffef gf e dd hhg f gh gf,dcf gf gh hgfghge fgf e defedc cdfff Gfffff efgfedd hhgfg hgf,dcfgfghhg fghgefgf edefedc cdfffGff fffefgfe ddhhgfghgf
chant_009264,edghkk kkkjh klkkjh ggfedee ed ghkk kljkjhh k ghgfed ghjkhgfedee kkhkhg,ed g hk k k k kj h kl k kj h g gfe de e ed g hk k kl j kjh h k gh g fed ghjkhg fe de e k k h k h g,ed g hk k k k kj h kl k kj h g gfe de e ed g hk k kl j kjh h k gh g fed ghjkhg fe de e k k h k h g,e d g h k k k k k j h k l k k j h g g f e d e e e d g h k k k l j k j h h k g h g f e d g h j k h g f e d e e k k h k h g,ed gh kk kk kj hk lk kj hg gf ed ee ed gh kk kl jk jh hk gh gf ed gh jk hg fe de ek kh kh g,edg hkk kkk jhk lkk jhg gfe dee edg hkk klj kjh hkg hgf edg hjk hgf ede ekk hkh g,edgh kkkk kjhk lkkj hggf edee edgh kkkl jkjh hkgh gfed ghjk hgfe deek khkh g,edghk kkkkj hklkk jhggf edeee dghkk kljkj hhkgh gfedg hjkhg fedee kkhkh g,edghkk kkkjhk lkkjhg gfedee edghkk kljkjh hkghgf edghjk hgfede ekkhkh g,edghkkk kkjhklk kjhggfe deeedgh kkkljkj hhkghgf edghjkh gfedeek khkhg,edghkkkk kjhklkkj hggfedee edghkkkl jkjhhkgh gfedghjk hgfedeek khkhg,edghkkkkk jhklkkjhg gfedeeedg hkkkljkjh hkghgfedg hjkhgfede ekkhkhg,edghkkkkkj hklkkjhggf edeeedghkk kljkjhhkgh gfedghjkhg fedeekkhkh g,edghkkkkkjh klkkjhggfed eeedghkkklj kjhhkghgfed ghjkhgfedee kkhkhg,edghkkkkkjhk lkkjhggfedee edghkkkljkjh hkghgfedghjk hgfedeekkhkh g,edghkkkkkjhkl kkjhggfedeeed ghkkkljkjhhkg hgfedghjkhgfe deekkhkhg,edghkkkkkjhklk kjhggfedeeedgh kkkljkjhhkghgf edghjkhgfedeek khkhg,edghkkkkkjhklkk jhggfedeeedghkk kljkjhhkghgfedg hjkhgfedeekkhkh g,edghkkkkkjhklkkj hggfedeeedghkkkl jkjhhkghgfedghjk hgfedeekkhkhg,edgh kkk kkjh kl kkj h ggf e d eee dghk kklj kjh hk gh gfedgh jkhg fede e kk hkh g,edgh kkk kkjhklkk jhggf edee edgh kkkl jkjh h kghg fedghj khgfedee kkhkhg,edghkkkkkj hklkkjhgg fedeeedgh kkkl jkjhhkg hgfedghjk hgfedeek khkh g
chant_009555,cdfgfed ddfdc fghih hghh hhgfefgf dd cdf fdeddc c defghfe dd h hg hklkj hh h klklkj hh hggF ghhgg fg hgf gfedd d dgfghgg hgfgfedc defe dd fghh hhh hhgfggfe,cdfg fed d df dc fghi h h gh h hhg fe fgf d d c df fdedd c c d ef gh fe d d h h g h kl kj h h h k l k l kj h h hggF gh hgg f g h gf g fe d d d dgfgh g g hgfg fe dc d efe d d f gh h h h h h h g f g gfe,cd fg fed d df dc fg hi h h gh h hhg fe fgf d d c df fd edd c c d ef gh fe d d h h g h kl kj h h h k l k l kj h h hg gF gh hgg f g h gf g fe d d d dgf gh g g hgfg fe dc d efe d d f gh h h h h h h g f g gfe,c d f g f e d d d f d c f g h i h h g h h h h g f e f g f d d c d f f d e d d c c d e f g h f e d d h h g h k l k j h h h k l k l k j h h h g g F g h h g g f g h g f g f e d d d d g f g h g g h g f g f e d c d e f e d d f g h h h h h h h g f g g f e,cd fg fe dd df dc fg hi hh gh hh hg fe fg fd dc df fd ed dc cd ef gh fe dd hh gh kl kj hh hk lk lk jh hh gg Fg hh gg fg hg fg fe dd dd gf gh gg hg fg fe dc de fe dd fg hh hh hh hg fg gf e,cdf gfe ddd fdc fgh ihh ghh hhg fef gfd dcd ffd edd ccd efg hfe ddh hgh klk jhh hkl klk jhh hgg Fgh hgg fgh gfg fed ddd gfg hgg hgf gfe dcd efe ddf ghh hhh hhg fgg fe,cdfg fedd dfdc fghi hhgh hhhg fefg fddc dffd eddc cdef ghfe ddhh ghkl kjhh hklk lkjh hhgg Fghh ggfg hgfg fedd ddgf ghgg hgfg fedc defe ddfg hhhh hhhg fggf e,cdfgf edddf dcfgh ihhgh hhhgf efgfd dcdff deddc cdefg hfedd hhghk lkjhh hklkl kjhhh ggFgh hggfg hgfgf edddd gfghg ghgfg fedcd efedd fghhh hhhhg fggfe,cdfgfe dddfdc fghihh ghhhhg fefgfd dcdffd eddccd efghfe ddhhgh klkjhh hklklk jhhhgg Fghhgg fghgfg fedddd gfghgg hgfgfe dcdefe ddfghh hhhhhg fggfe,cdfgfed ddfdcfg hihhghh hhgfefg fddcdff deddccd efghfed dhhghkl kjhhhkl klkjhhh ggFghhg gfghgfg feddddg fghgghg fgfedcd efeddfg hhhhhhh gfggfe,cdfgfedd dfdcfghi hhghhhhg fefgfddc dffdeddc cdefghfe ddhhghkl kjhhhklk lkjhhhgg Fghhggfg hgfgfedd ddgfghgg hgfgfedc defeddfg hhhhhhhg fggfe,cdfgfeddd fdcfghihh ghhhhgfef gfddcdffd eddccdefg hfeddhhgh klkjhhhkl klkjhhhgg Fghhggfgh gfgfedddd gfghgghgf gfedcdefe ddfghhhhh hhgfggfe,cdfgfedddf dcfghihhgh hhhgfefgfd dcdffdeddc cdefghfedd hhghklkjhh hklklkjhhh ggFghhggfg hgfgfedddd gfghgghgfg fedcdefedd fghhhhhhhg fggfe,cdfgfedddfd cfghihhghhh hgfefgfddcd ffdeddccdef ghfeddhhghk lkjhhhklklk jhhhggFghhg gfghgfgfedd ddgfghgghgf gfedcdefedd fghhhhhhhgf ggfe,cdfgfedddfdc fghihhghhhhg fefgfddcdffd eddccdefghfe ddhhghklkjhh hklklkjhhhgg Fghhggfghgfg feddddgfghgg hgfgfedcdefe ddfghhhhhhhg fggfe,cdfgfedddfdcf ghihhghhhhgfe fgfddcdffdedd ccdefghfeddhh ghklkjhhhklkl kjhhhggFghhgg fghgfgfeddddg fghgghgfgfedc defeddfghhhhh hhgfggfe,cdfgfedddfdcfg hihhghhhhgfefg fddcdffdeddccd efghfeddhhghkl kjhhhklklkjhhh ggFghhggfghgfg feddddgfghgghg fgfedcdefeddfg hhhhhhhgfggfe,cdfgfedddfdcfgh ihhghhhhgfefgfd dcdffdeddccdefg hfeddhhghklkjhh hklklkjhhhggFgh hggfghgfgfedddd gfghgghgfgfedcd efeddfghhhhhhhg fggfe,cdfgfedddfdcfghi hhghhhhgfefgfddc dffdeddccdefghfe ddhhghklkjhhhklk lkjhhhggFghhggfg hgfgfeddddgfghgg hgfgfedcdefeddfg hhhhhhhgfggfe,cdf g feddd fdcf gh ihhgh hhh gf e fg fddcd ffd eddcc def ghfe ddh hgh klk j hh hk lk lk jhhhg gF ghhg gfghgfgfed ddd gfghg gh gf gf ed cde fe ddfg hhhh hhhg f ggf e,cdf gfedddfdcfgh ihhghhh hgfef gfdd cdffdeddc cdefgh feddhh ghkl kjhhhk lklkjh hhggFg hhggfg hgfgfeddd dgfg hgghgfg fe dcdefed dfg hhhhhhhgf ggfe,cdf gfeddd fdcfghihh ghhh hgfefg fddcdffde ddccdef ghfeddh hghkl kjhh hklklk jhhhggFghhgg fghgf gfedddd gfghggh gfgfedcd efeddfghhhhh hhgfgg fe
chant_010885,ljlm ll lj klkj gg kk k kkh kjh gh jhggg llmlkj kjkl ll l,l j l m l l l j kl kj g g k k k k k h k jh gh j h g g g l l m l k j kj kl l l l,l j l m l l l j kl kj g g k k k k k h k jh gh j h g g g l l m l k j kj kl l l l,l j l m l l l j k l k j g g k k k k k h k j h g h j h g g g l l m l k j k j k l l l l,lj lm ll lj kl kj gg kk kk kh kj hg hj hg gg ll ml kj kj kl ll l,ljl mll ljk lkj ggk kkk khk jhg hjh ggg llm lkj kjk lll l,ljlm lllj klkj ggkk kkkh kjhg hjhg ggll mlkj kjkl lll,ljlml lljkl kjggk kkkkh kjhgh jhggg llmlk jkjkl lll,ljlmll ljklkj ggkkkk khkjhg hjhggg llmlkj kjklll l,ljlmlll jklkjgg kkkkkhk jhghjhg ggllmlk jkjklll l,ljlmlllj klkjggkk kkkhkjhg hjhgggll mlkjkjkl lll,ljlmllljk lkjggkkkk khkjhghjh gggllmlkj kjkllll,ljlmllljkl kjggkkkkkh kjhghjhggg llmlkjkjkl lll,ljlmllljklk jggkkkkkhkj hghjhgggllm lkjkjkllll,ljlmllljklkj ggkkkkkhkjhg hjhgggllmlkj kjkllll,ljlmllljklkjg gkkkkkhkjhghj hgggllmlkjkjk llll,ljlmllljklkjgg kkkkkhkjhghjhg ggllmlkjkjklll l,ljlmllljklkjggk kkkkhkjhghjhggg llmlkjkjkllll,ljlmllljklkjggkk kkkhkjhghjhgggll mlkjkjkllll,lj lm ll l jk lkj gg kk kk khkj hgh jhgggl lml kj kjk ll ll,ljlml lljklk jggk kkkk hkjh ghjhggg llmlkj kjkll ll,ljlmlllj klkjggkkkkkhkj hghjhgggl lmlkjkj kllll
chant_011882,ddcfg fghh h jhg g fghg g geg hgf hgf gfEcd d dgedfE dd hhgfghgf,d dc f g fgh h h jh g g f gh g g g e g hg f hg f g fE cd d d g ed fE d d h h g f gh gf,d dc f g fgh h h jh g g f gh g g g e g hg f hg f g fE cd d d g ed fE d d h h g f gh gf,d d c f g f g h h h j h g g f g h g g g e g h g f h g f g f E c d d d g e d f E d d h h g f g h g f,dd cf gf gh hh jh gg fg hg gg eg hg fh gf gf Ec dd dg ed fE dd hh gf gh gf,ddc fgf ghh hjh ggf ghg gge ghg fhg fgf Ecd ddg edf Edd hhg fgh gf,ddcf gfgh hhjh ggfg hggg eghg fhgf gfEc dddg edfE ddhh gfgh gf,ddcfg fghhh jhggf ghggg eghgf hgfgf Ecddd gedfE ddhhg fghgf,ddcfgf ghhhjh ggfghg ggeghg fhgfgf Ecdddg edfEdd hhgfgh gf,ddcfgfg hhhjhgg fghggge ghgfhgf gfEcddd gedfEdd hhgfghg f,ddcfgfgh hhjhggfg hgggeghg fhgfgfEc dddgedfE ddhhgfgh gf,ddcfgfghh hjhggfghg ggeghgfhg fgfEcdddg edfEddhhg fghgf,ddcfgfghhh jhggfghggg eghgfhgfgf EcdddgedfE ddhhgfghgf,ddcfgfghhhj hggfghgggeg hgfhgfgfEcd ddgedfEddhh gfghgf,ddcfgfghhhjh ggfghgggeghg fhgfgfEcdddg edfEddhhgfgh gf,ddcfgfghhhjhg gfghgggeghgfh gfgfEcdddgedf Eddhhgfghgf,ddcfgfghhhjhgg fghgggeghgfhgf gfEcdddgedfEdd hhgfghgf,ddcfgfghhhjhggf ghgggeghgfhgfgf EcdddgedfEddhhg fghgf,ddcfgfghhhjhggfg hgggeghgfhgfgfEc dddgedfEddhhgfgh gf,ddcf g fghh hj hg gf gh ggge gh gfh g fg fEcd ddgedf Ed dh hgfg hgf,ddcf gfghh hjhggfg hggge ghgfhgf gfEcddd gedf Eddhh gfghgf,ddcfgf ghhhj hggfghg ggeghgf hgfgfEcdd dge dfEddhh gfg hgf
chant_011926,cddhih hh hhghihg fDd c dffed g gfdc ffgff fe gghg ff fhgh dd fef gfe dd hhgfggfed fghhh,c d dhi h h h h hghihg fD d c df fe d g gf dc ffg f f fe g ghg f f fhgh d d f ef g fe d d h h g f g gfed f gh h h,c d dhi h h h h hg hihg fD d c df fe d g gf dc ffg f f fe g ghg f f fhgh d d f ef g fe d d h h g f g gfed f gh h h,c d d h i h h h h h g h i h g f D d c d f f e d g g f d c f f g f f f e g g h g f f f h g h d d f e f g f e d d h h g f g g f e d f g h h h,cd dh ih hh hh gh ih gf Dd cd ff ed gg fd cf fg ff fe gg hg ff fh gh dd fe fg fe dd hh gf gg fe df gh hh,cdd hih hhh hgh ihg fDd cdf fed ggf dcf fgf ffe ggh gff fhg hdd fef gfe ddh hgf ggf edf ghh h,cddh ihhh hhgh ihgf Ddcd ffed ggfd cffg fffe gghg fffh ghdd fefg fedd hhgf ggfe dfgh hh,cddhi hhhhh ghihg fDdcd ffedg gfdcf fgfff egghg fffhg hddfe fgfed dhhgf ggfed fghhh,cddhih hhhhgh ihgfDd cdffed ggfdcf fgfffe gghgff fhghdd fefgfe ddhhgf ggfedf ghhh,cddhihh hhhghih gfDdcdf fedggfd cffgfff egghgff fhghddf efgfedd hhgfggf edfghhh,cddhihhh hhghihgf Ddcdffed ggfdcffg fffegghg fffhghdd fefgfedd hhgfggfe dfghhh,cddhihhhh hghihgfDd cdffedggf dcffgfffe gghgfffhg hddfefgfe ddhhgfggf edfghhh,cddhihhhhh ghihgfDdcd ffedggfdcf fgfffegghg fffhghddfe fgfeddhhgf ggfedfghhh,cddhihhhhhg hihgfDdcdff edggfdcffgf ffegghgfffh ghddfefgfed dhhgfggfedf ghhh,cddhihhhhhgh ihgfDdcdffed ggfdcffgfffe gghgfffhghdd fefgfeddhhgf ggfedfghhh,cddhihhhhhghi hgfDdcdffedgg fdcffgfffeggh gfffhghddfefg feddhhgfggfed fghhh,cddhihhhhhghih gfDdcdffedggfd cffgfffegghgff fhghddfefgfedd hhgfggfedfghhh,cddhihhhhhghihg fDdcdffedggfdcf fgfffegghgfffhg hddfefgfeddhhgf ggfedfghhh,cddhihhhhhghihgf Ddcdffedggfdcffg fffegghgfffhghdd fefgfeddhhgfggfe dfghhh,c ddh ihhh hhghih g fDdc df fed gg fdcf fg fffe gghg fffh ghd dfefg fedd hhg fggf edfg hhh,cddhihh hhhghihgfDd cdffedg gfd cffgf ffeggh gfff hghddfef gfeddh hgf ggfedf ghh h,cddh ihhhhhg hihg fDdcdffedggf dcffg fffegghgf ffhghdd fefgfeddhh gfggfedfg hhh
chant_012056,efggf edghk kk kkh gF hhkjhgg g hkj hghhG efG ggf fed ghkk ghkgh gFefgh gfee,e f g gf ed g hk k k k kh gF h hkj hg g g h k j hg h hG efG g gf f e d gh k k ghkg h gF ef gh gf e e,e f g gf ed g hk k k k kh gF h hkj hg g g h k j hg h hG efG g gf f e d gh k k ghkg h gF ef gh gf e e,e f g g f e d g h k k k k k h g F h h k j h g g g h k j h g h h G e f G g g f f e d g h k k g h k g h g F e f g h g f e e,ef gg fe dg hk kk kk hg Fh hk jh gg gh kj hg hh Ge fG gg ff ed gh kk gh kg hg Fe fg hg fe e,efg gfe dgh kkk kkh gFh hkj hgg ghk jhg hhG efG ggf fed ghk kgh kgh gFe fgh gfe e,efgg fedg hkkk kkhg Fhhk jhgg ghkj hghh GefG ggff edgh kkgh kghg Fefg hgfe e,efggf edghk kkkkh gFhhk jhggg hkjhg hhGef Gggff edghk kghkg hgFef ghgfe e,efggfe dghkkk kkhgFh hkjhgg ghkjhg hhGefG ggffed ghkkgh kghgFe fghgfe e,efggfed ghkkkkk hgFhhkj hggghkj hghhGef Gggffed ghkkghk ghgFefg hgfee,efggfedg hkkkkkhg Fhhkjhgg ghkjhghh GefGggff edghkkgh kghgFefg hgfee,efggfedgh kkkkkhgFh hkjhggghk jhghhGefG ggffedghk kghkghgFe fghgfee,efggfedghk kkkkhgFhhk jhggghkjhg hhGefGggff edghkkghkg hgFefghgfe e,efggfedghkk kkkhgFhhkjh ggghkjhghhG efGggffedgh kkghkghgFef ghgfee,efggfedghkkk kkhgFhhkjhgg ghkjhghhGefG ggffedghkkgh kghgFefghgfe e,efggfedghkkkk khgFhhkjhgggh kjhghhGefGggf fedghkkghkghg Fefghgfee,efggfedghkkkkk hgFhhkjhggghkj hghhGefGggffed ghkkghkghgFefg hgfee,efggfedghkkkkkh gFhhkjhggghkjhg hhGefGggffedghk kghkghgFefghgfe e,efggfedghkkkkkhg Fhhkjhggghkjhghh GefGggffedghkkgh kghgFefghgfee,e fgg fe dghkk kk khgF hh kjh ggg hk jhg hh Ge fGggf fed ghk k ghkghg Fef gh g fee,efggfe dghk kkkkhgF hhkjhg gghkjh ghhGefG ggffed ghkkghk ghgF efghg fee,efggf edghkkkkkh gFhhkjhgggh kjhghhGe fGgg ffedghkk ghkg hgFefghgfee
chant_012903,fffe ggh ffedCc f ff fe gh hhggFf hhfghgf,f f f e g g h f fe dC c f f f f e g h h hg gF f h h f gh g f,f f f e g g h f fe dC c f f f f e g h h hg gF f h h f gh g f,f f f e g g h f f e d C c f f f f e g h h h g g F f h h f g h g f,ff fe gg hf fe dC cf ff fe gh hh gg Ff hh fg hg f,fff egg hff edC cff ffe ghh hgg Ffh hfg hgf,fffe gghf fedC cfff fegh hhgg Ffhh fghg f,fffeg ghffe dCcff ffegh hhggF fhhfg hgf,fffegg hffedC cffffe ghhhgg Ffhhfg hgf,fffeggh ffedCcf fffeghh hggFfhh fghgf,fffegghf fedCcfff feghhhgg Ffhhfghg f,fffegghff edCcffffe ghhhggFfh hfghgf,fffegghffe dCcffffegh hhggFfhhfg hgf,fffegghffed Ccffffeghhh ggFfhhfghgf,fffegghffedC cffffeghhhgg Ffhhfghgf,fffegghffedCc ffffeghhhggFf hhfghgf,fffegghffedCcf fffeghhhggFfhh fghgf,fffegghffedCcff ffeghhhggFfhhfg hgf,fffegghffedCcfff feghhhggFfhhfghg f,fffe ggh ff ed Ccf fff eghh hg g Ff hhfgh gf,fff egghffed Ccff ffeghhh ggFfhh fghgf,fffeg ghffedCcfff feghhhg gFfhhfghgf
chant_012963,fffe ggh ffedc ff ffe gh hhggf hhfghgf hhhhj,f f f e g g h f fe d c f f f f e g h h hg g f h h f gh g f h h h h j,f f f e g g h f fe d c f f f f e g h h hg g f h h f gh g f h h h h j,f f f e g g h f f e d c f f f f e g h h h g g f h h f g h g f h h h h j,ff fe gg hf fe dc ff ff eg hh hg gf hh fg hg fh hh hj,fff egg hff edc fff feg hhh ggf hhf ghg fhh hhj,fffe gghf fedc ffff eghh hggf hhfg hgfh hhhj,fffeg ghffe dcfff feghh hggfh hfghg fhhhh j,fffegg hffedc ffffeg hhhggf hhfghg fhhhhj,fffeggh ffedcff ffeghhh ggfhhfg hgfhhhh j,fffegghf fedcffff eghhhggf hhfghgfh hhhj,fffegghff edcffffeg hhhggfhhf ghgfhhhhj,fffegghffe dcffffeghh hggfhhfghg fhhhhj,fffegghffed cffffeghhhg gfhhfghgfhh hhj,fffegghffedc ffffeghhhggf hhfghgfhhhhj,fffegghffedcf fffeghhhggfhh fghgfhhhhj,fffegghffedcff ffeghhhggfhhfg hgfhhhhj,fffegghffedcfff feghhhggfhhfghg fhhhhj,fffegghffedcffff eghhhggfhhfghgfh hhhj,fffegg hff ed cff ff eghhh ggf h hfg hgfh h hh j,fffeggh ffedcf fffe ghhh ggfhhfgh gfh hhhj,fffegghffe dcffffegh hhggfhhf ghgfhhhh j
