id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
80,0.5276013851165772,0.10838104427328978,0.8882982730865479,0.47383483245919483,distance,18,53,kd_tree,"{'weights': 'distance', 'n_neighbors': 18, 'leaf_size': 53, 'algorithm': 'kd_tree'}",0.8898043254376931,0.8799587841318908,0.8856259659969088,0.8979907264296755,0.8887171561051005,0.8884193916202537,0.005882214909138819,1,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8902315462440987,0.8846470975833062,0.8859565701055311,0.89917580099279,0.8889616999307776,0.8897945429713007,0.005101349452784274,1,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.8898043254376931,0.8799587841318908,0.8856259659969088,0.8979907264296755,0.8887171561051005,0.8884193916202537,0.005882214909138819,1,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8891855781725347,0.8784202201902899,0.8841883823607177,0.89726307095406,0.8881520579304455,0.8874418619216096,0.006196389600004553,1,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
45,0.4204421520233154,0.16032230564678746,2.7075372695922852,0.3087281604309361,distance,16,63,ball_tree,"{'weights': 'distance', 'n_neighbors': 16, 'leaf_size': 63, 'algorithm': 'ball_tree'}",0.8872296601441813,0.8830499742400825,0.8825347758887172,0.8979907264296755,0.8861411643482741,0.8873892602101862,0.005592311189880095,2,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8877536788381593,0.886780067671501,0.8827826711783162,0.8990631170814669,0.8864029281425729,0.8885564925824033,0.0055165969064114384,2,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.8872296601441813,0.8830499742400825,0.8825347758887172,0.8979907264296755,0.8861411643482741,0.8873892602101862,0.005592311189880095,2,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.886462017509109,0.8816671847805729,0.8811399369653624,0.8973786181973249,0.8856440054987645,0.8864583525902268,0.005850747119567518,2,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
23,0.40517802238464357,0.10038063222677708,0.5980884075164795,0.176894392222314,distance,16,21,kd_tree,"{'weights': 'distance', 'n_neighbors': 16, 'leaf_size': 21, 'algorithm': 'kd_tree'}",0.8872296601441813,0.8830499742400825,0.8825347758887172,0.8979907264296755,0.8861411643482741,0.8873892602101862,0.005592311189880095,2,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8877536788381593,0.886780067671501,0.8827826711783162,0.8990631170814669,0.8864029281425729,0.8885564925824033,0.0055165969064114384,2,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.8872296601441813,0.8830499742400825,0.8825347758887172,0.8979907264296755,0.8861411643482741,0.8873892602101862,0.005592311189880095,2,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.886462017509109,0.8816671847805729,0.8811399369653624,0.8973786181973249,0.8856440054987645,0.8864583525902268,0.005850747119567518,2,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
83,0.16796140670776366,0.03861266269697535,7.790671253204346,3.4862719796586905,distance,12,51,brute,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 51, 'algorithm': 'brute'}",0.8861997940267765,0.88768675940237,0.8809891808346213,0.895414734672849,0.8861411643482741,0.8872863266569782,0.004655692400360057,4,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8866050783347204,0.8904280509636147,0.8811736402938803,0.8965706265859757,0.8864862910386692,0.8882527374433721,0.0050964300954873705,11,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.8861997940267765,0.88768675940237,0.8809891808346213,0.895414734672849,0.8861411643482741,0.8872863266569782,0.004655692400360057,4,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8855157357065594,0.8863138616828767,0.8797648504250157,0.8948213532381458,0.8855921453040374,0.8864015892713268,0.004824652525835326,4,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
88,0.6498911857604981,0.15162496701733108,4.391020393371582,0.25959274227249596,distance,17,78,ball_tree,"{'weights': 'distance', 'n_neighbors': 17, 'leaf_size': 78, 'algorithm': 'ball_tree'}",0.888259526261586,0.880473982483256,0.8845955692941783,0.895414734672849,0.88768675940237,0.8872861144228479,0.0049158252374948384,5,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8886190022634478,0.8842538659000183,0.8848675353765423,0.8970450330678673,0.887927807178354,0.888542648757246,0.004573281442203637,4,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.888259526261586,0.880473982483256,0.8845955692941783,0.895414734672849,0.88768675940237,0.8872861144228479,0.0049158252374948384,5,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8875974299060783,0.8790800304360687,0.8832769188321727,0.8947074982972618,0.8870744869041673,0.8863472728751496,0.005181215852907773,7,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
76,0.32070174217224123,0.11163272184220084,0.4554284572601318,0.06683844660289669,distance,15,44,kd_tree,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 44, 'algorithm': 'kd_tree'}",0.8892893923789907,0.8835651725914477,0.884080370942813,0.895414734672849,0.884080370942813,0.8872860083057826,0.00457135822954685,6,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8899080399029463,0.8871888442575036,0.8842611524380467,0.8965927352331534,0.8843447864532124,0.8884591116569724,0.004569887050971839,6,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.8892893923789907,0.8835651725914477,0.884080370942813,0.895414734672849,0.884080370942813,0.8872860083057826,0.00457135822954685,6,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8885048454086237,0.8822065527400869,0.8827808917732622,0.8947335103935117,0.8835419946398521,0.8863535589910674,0.004748012736999901,6,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
57,0.14426941871643068,0.06388231316260601,8.915469360351562,1.2537453583134874,distance,13,20,brute,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 20, 'algorithm': 'brute'}",0.892378990731205,0.8830499742400825,0.8825347758887172,0.893353941267388,0.8851107676455435,0.8872856899545873,0.004647755284482245,7,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8929323589876969,0.8865153378337574,0.8828540181200915,0.8946899785430249,0.8855297662971228,0.8885042919563386,0.004529896952615103,5,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.892378990731205,0.8830499742400825,0.8825347758887172,0.893353941267388,0.8851107676455435,0.8872856899545873,0.004647755284482245,7,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8916274441597076,0.8815938691081967,0.881247152637465,0.8927843484528087,0.8845968529930417,0.8863699334702438,0.004919016707597514,5,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
50,0.4366885185241699,0.05878728184035064,3.042982292175293,0.3351688999645751,distance,12,98,ball_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 98, 'algorithm': 'ball_tree'}",0.8861997940267765,0.8871715610510046,0.8809891808346213,0.895414734672849,0.8861411643482741,0.8871832869867051,0.0046513889866648325,8,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8866050783347204,0.8899696378253602,0.8811736402938803,0.8965706265859757,0.8864862910386692,0.8881610548157213,0.005060468912664181,12,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.8861997940267765,0.8871715610510046,0.8809891808346213,0.895414734672849,0.8861411643482741,0.8871832869867051,0.0046513889866648325,8,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8855157357065594,0.885791238042858,0.8797648504250157,0.8948213532381458,0.8855921453040374,0.8862970645433232,0.00483107783778616,8,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
59,0.11787476539611816,0.10484731044751318,6.929351758956909,2.4267297626211732,distance,17,52,brute,"{'weights': 'distance', 'n_neighbors': 17, 'leaf_size': 52, 'algorithm': 'brute'}",0.888259526261586,0.880473982483256,0.8845955692941783,0.8948995363214838,0.88768675940237,0.8871830747525747,0.004746858514799144,9,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8886190022634478,0.8842538659000183,0.8848675353765423,0.8964796718760046,0.887927807178354,0.8884295765188733,0.00436386035786613,7,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.888259526261586,0.880473982483256,0.8845955692941783,0.8948995363214838,0.88768675940237,0.8871830747525747,0.004746858514799144,9,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8875974299060783,0.8790800304360687,0.8832769188321727,0.8941900243387954,0.8870744869041673,0.8862437780834564,0.00501571159706302,11,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
70,0.32613840103149416,0.09922665966266092,1.9872654914855956,0.2567968886694736,distance,13,48,ball_tree,"{'weights': 'distance', 'n_neighbors': 13, 'leaf_size': 48, 'algorithm': 'ball_tree'}",0.8918640576725025,0.8830499742400825,0.8825347758887172,0.893353941267388,0.8851107676455435,0.8871827033428467,0.004538168195880986,10,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8923741367221668,0.8865153378337574,0.8828540181200915,0.8946899785430249,0.8855297662971228,0.8883926475032327,0.004425052100584072,8,1.0,0.9998716491570764,0.9997429338301059,0.9997429338301059,0.9997429338656862,0.999820090136595,0.00010284471104147396,0.8918640576725025,0.8830499742400825,0.8825347758887172,0.893353941267388,0.8851107676455435,0.8871827033428467,0.004538168195880986,10,1.0,0.9998712169993561,0.9997424339987122,0.9997424339987122,0.9997424339987122,0.9998197037990983,0.00010302640051511603,0.8911281092444715,0.8815938691081967,0.881247152637465,0.8927843484528087,0.8845968529930417,0.8862700664871968,0.004815237851346987,9,1.0,0.9998713107406032,0.999742502877295,0.9997425029314565,0.9997425028861948,0.9998197638871099,0.00010300477237806093
