id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
54,0.06362419128417969,0.05863838638167991,0.7716503143310547,0.09889161710797259,uniform,8,66,brute,"{'weights': 'uniform', 'n_neighbors': 8, 'leaf_size': 66, 'algorithm': 'brute'}",0.8730703259005146,0.8591065292096219,0.8625429553264605,0.8556701030927835,0.8470790378006873,0.8594937902660135,0.008514885329827688,1,0.8732817869415808,0.8789179905538858,0.8759124087591241,0.884070416487763,0.8793473593817089,0.8783059924248124,0.0036237951136567676,0.8751858484296676,0.8637071783593371,0.8644389073473726,0.8592730946272757,0.8482675099973072,0.8621745077521921,0.008701659101778244,1,0.8745979768111506,0.8801214792914797,0.8763565521460428,0.886176413453732,0.8805272612476271,0.8795559365900065,0.003997785637821163,0.8730703259005146,0.8591065292096219,0.8625429553264605,0.8556701030927835,0.8470790378006873,0.8594937902660135,0.008514885329827688,1,0.8732817869415808,0.8789179905538858,0.8759124087591241,0.884070416487763,0.8793473593817089,0.8783059924248124,0.0036237951136567676,0.8720538429713907,0.8582936616340869,0.8623047675457882,0.8543153966610869,0.8465970461034336,0.8587129429831573,0.0084521001400752,1,0.872976680687989,0.8784267408259749,0.8753379777154187,0.8836727760163746,0.8787536018668486,0.8778335554225212,0.00360865603252504
24,0.04533843994140625,0.030961857134251536,0.22813792228698732,0.08464364046097626,distance,11,37,ball_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 37, 'algorithm': 'ball_tree'}",0.8679245283018868,0.852233676975945,0.8573883161512027,0.8573883161512027,0.8573883161512027,0.858464630746288,0.005134000505908764,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8693424760444721,0.8550809180276064,0.8594701663861352,0.8592997410802099,0.8591451592381348,0.8604676921553116,0.004730483807672006,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8679245283018868,0.852233676975945,0.8573883161512027,0.8573883161512027,0.8573883161512027,0.858464630746288,0.005134000505908764,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8668989180602986,0.8514816425600039,0.8568667656261554,0.8562878969134086,0.8568701043214996,0.8576810654962731,0.005033156298796946,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
84,0.11012120246887207,0.04689756969022723,0.18078169822692872,0.05940042095606615,distance,11,61,kd_tree,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 61, 'algorithm': 'kd_tree'}",0.8679245283018868,0.852233676975945,0.8573883161512027,0.8573883161512027,0.8573883161512027,0.858464630746288,0.005134000505908764,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8693424760444721,0.8550809180276064,0.8594701663861352,0.8592997410802099,0.8591451592381348,0.8604676921553116,0.004730483807672006,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8679245283018868,0.852233676975945,0.8573883161512027,0.8573883161512027,0.8573883161512027,0.858464630746288,0.005134000505908764,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8668989180602986,0.8514816425600039,0.8568667656261554,0.8562878969134086,0.8568701043214996,0.8576810654962731,0.005033156298796946,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
80,0.07054433822631836,0.035915557953290836,0.5683903217315673,0.09463250769200328,distance,8,90,brute,"{'weights': 'distance', 'n_neighbors': 8, 'leaf_size': 90, 'algorithm': 'brute'}",0.8747855917667239,0.8573883161512027,0.8591065292096219,0.852233676975945,0.8470790378006873,0.8581186303808362,0.009335975425439083,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.876237378240363,0.8612123293277635,0.8606835774535353,0.8538572366539641,0.8486855757389659,0.8601352194829184,0.009287064003180197,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8747855917667239,0.8573883161512027,0.8591065292096219,0.852233676975945,0.8470790378006873,0.8581186303808362,0.009335975425439083,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8740867241511285,0.8569971226186176,0.8585251471600888,0.8511320362989574,0.8464871351811742,0.8574456330819933,0.009362078880599473,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,0.03973689079284668,0.028290861973020155,0.5084761619567871,0.030466192063682267,distance,9,88,brute,"{'weights': 'distance', 'n_neighbors': 9, 'leaf_size': 88, 'algorithm': 'brute'}",0.869639794168096,0.8556701030927835,0.8591065292096219,0.8505154639175257,0.8539518900343642,0.8577767560844783,0.006546662053295509,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8712552073210114,0.8586569928082074,0.8607075962331074,0.8520821002056052,0.8556157414103908,0.8596635275956646,0.006485874570564956,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.869639794168096,0.8556701030927835,0.8591065292096219,0.8505154639175257,0.8539518900343642,0.8577767560844783,0.006546662053295509,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8689470159937921,0.8548094712431533,0.8585624434922641,0.8493463448354008,0.8532060475815936,0.8569742646292408,0.0066774252199811495,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,0.1456007957458496,0.04454094538467567,0.1875619888305664,0.0346397599008686,distance,14,70,ball_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 70, 'algorithm': 'ball_tree'}",0.869639794168096,0.8539518900343642,0.8608247422680413,0.8556701030927835,0.8487972508591065,0.8577767560844783,0.007067120963585753,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8722865870400717,0.8569459978781552,0.8641166846989616,0.8582239002934653,0.8507648565638257,0.8604676052948959,0.007274384838037465,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.869639794168096,0.8539518900343642,0.8608247422680413,0.8556701030927835,0.8487972508591065,0.8577767560844783,0.007067120963585753,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8685885760680296,0.8533965408735102,0.8606082957159819,0.8537997834863654,0.848123579367421,0.8569033551022617,0.007060953742010832,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,0.07705469131469726,0.05336021564631731,0.17342615127563477,0.045295261359367386,distance,12,86,kd_tree,"{'weights': 'distance', 'n_neighbors': 12, 'leaf_size': 86, 'algorithm': 'kd_tree'}",0.869639794168096,0.8556701030927835,0.8539518900343642,0.8573883161512027,0.852233676975945,0.8577767560844783,0.00617536834994185,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.871902872684473,0.8597047190332322,0.8568130271958948,0.8589488851120615,0.8539255765850507,0.8602590161221425,0.006157765507394635,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.869639794168096,0.8556701030927835,0.8539518900343642,0.8573883161512027,0.852233676975945,0.8577767560844783,0.00617536834994185,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8684347518488567,0.8551729598191766,0.8535028631551438,0.8561479217486646,0.8518152631933893,0.8570147519530462,0.005897932464492178,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
44,0.090205717086792,0.08014935218036447,0.15676274299621581,0.02130117396751923,distance,15,99,ball_tree,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 99, 'algorithm': 'ball_tree'}",0.8713550600343053,0.845360824742268,0.8556701030927835,0.8608247422680413,0.8556701030927835,0.8577761666460363,0.008446204839348884,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8728504566834734,0.8492133221667859,0.8583014086610411,0.8627049782773156,0.8570410617858641,0.8600222455148959,0.007751665843021384,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8713550600343053,0.845360824742268,0.8556701030927835,0.8608247422680413,0.8556701030927835,0.8577761666460363,0.008446204839348884,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8702532529580919,0.8446496844711252,0.8552875060187316,0.8590819728715078,0.8546906962261376,0.8567926225091188,0.008253049268105281,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,0.10178160667419434,0.03642951808391068,0.24929680824279785,0.0945895886327275,distance,7,19,ball_tree,"{'weights': 'distance', 'n_neighbors': 7, 'leaf_size': 19, 'algorithm': 'ball_tree'}",0.8713550600343053,0.852233676975945,0.865979381443299,0.8505154639175257,0.8470790378006873,0.8574325240343524,0.00947580275043807,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.872838034879844,0.8560177990995185,0.8671526177008593,0.8514866843115914,0.8483466838459849,0.8591683639675596,0.009345065355643065,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8713550600343053,0.852233676975945,0.865979381443299,0.8505154639175257,0.8470790378006873,0.8574325240343524,0.00947580275043807,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.870727753190837,0.8517949442904639,0.8651151076483063,0.8489418270365996,0.846533176164561,0.8566225616661536,0.00954122674484173,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
92,0.16468825340270996,0.07666565238285507,0.20903897285461426,0.0197208992575811,distance,10,16,ball_tree,"{'weights': 'distance', 'n_neighbors': 10, 'leaf_size': 16, 'algorithm': 'ball_tree'}",0.8713550600343053,0.852233676975945,0.8539518900343642,0.8539518900343642,0.8556701030927835,0.8574325240343524,0.007045576953887082,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8722789293020831,0.8555268793563824,0.8559935067473242,0.8556994557941157,0.8571125799387663,0.8593222702277344,0.006501818024788948,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8713550600343053,0.852233676975945,0.8539518900343642,0.8539518900343642,0.8556701030927835,0.8574325240343524,0.007045576953887082,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8704716003866155,0.8517495353499182,0.8532429320236389,0.8528579018846013,0.8551707072756782,0.8566985353840906,0.006974465426009873,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
