id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_n_neighbors,param_leaf_size,param_algorithm,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
28,0.024529075622558592,0.019216620425904288,0.16132702827453613,0.050542034072890825,distance,6,30,kd_tree,"{'weights': 'distance', 'n_neighbors': 6, 'leaf_size': 30, 'algorithm': 'kd_tree'}",0.8097165991902834,0.8259109311740891,0.7692307692307693,0.8016194331983806,0.8373983739837398,0.8087752213554523,0.023361389545953456,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8128425892595932,0.8303183988456595,0.7745899578851524,0.8030793599638311,0.8408317346533469,0.8123324081215166,0.0230046917386144,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8097165991902834,0.8259109311740891,0.7692307692307693,0.8016194331983806,0.8373983739837398,0.8087752213554523,0.023361389545953456,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8097783480763108,0.8236464320741976,0.7691797519361178,0.7990122634444357,0.8368037413665607,0.8076841073795246,0.023086450583144832,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
52,0.0055310726165771484,0.00036955987236902114,0.1223182201385498,0.007882326388451724,distance,8,22,ball_tree,"{'weights': 'distance', 'n_neighbors': 8, 'leaf_size': 22, 'algorithm': 'ball_tree'}",0.8137651821862348,0.8259109311740891,0.7773279352226721,0.7975708502024291,0.8292682926829268,0.8087686382936704,0.019250806496780147,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8193942747367903,0.8330173936201648,0.781777607697671,0.7967279710352186,0.8336729630375329,0.8129180420254756,0.020535517133340692,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8137651821862348,0.8259109311740891,0.7773279352226721,0.7975708502024291,0.8292682926829268,0.8087686382936704,0.019250806496780147,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8138734824252785,0.8238300109676087,0.776579304067228,0.7941023932760025,0.828567768202977,0.8073905917878189,0.019425070633566837,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
94,0.04827523231506348,0.026641892928498646,0.15128049850463868,0.0486419557629449,distance,14,61,ball_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 61, 'algorithm': 'ball_tree'}",0.8097165991902834,0.8259109311740891,0.7530364372469636,0.7854251012145749,0.8414634146341463,0.8031104966920115,0.031159689857137036,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.818610235073276,0.8314622902189834,0.7589984799648387,0.7849726040529261,0.8457733957256758,0.80796340100714,0.031690026215535766,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8097165991902834,0.8259109311740891,0.7530364372469636,0.7854251012145749,0.8414634146341463,0.8031104966920115,0.031159689857137036,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8088808509309553,0.8218285031414516,0.7526132384461015,0.7801482721939175,0.8403629126986617,0.8007667554822175,0.031052131913217387,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
87,0.022571468353271486,0.02039633229228595,0.15316810607910156,0.024028996429164354,distance,10,29,ball_tree,"{'weights': 'distance', 'n_neighbors': 10, 'leaf_size': 29, 'algorithm': 'ball_tree'}",0.7894736842105263,0.8380566801619433,0.7530364372469636,0.7935222672064778,0.8414634146341463,0.8031104966920115,0.03309830896713276,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7976134002943547,0.8456225693966666,0.7569998178037686,0.7952905997485097,0.8452256021555583,0.8081503978797715,0.03367942689086735,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7894736842105263,0.8380566801619433,0.7530364372469636,0.7935222672064778,0.8414634146341463,0.8031104966920115,0.03309830896713276,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7889415824930184,0.8349766194612294,0.7522491795243224,0.7890224472049931,0.840329973639533,0.8011039604646193,0.03276190824231744,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37,0.04009380340576172,0.029381564507475342,0.1456092357635498,0.028019786016142995,distance,14,39,kd_tree,"{'weights': 'distance', 'n_neighbors': 14, 'leaf_size': 39, 'algorithm': 'kd_tree'}",0.8097165991902834,0.8259109311740891,0.7530364372469636,0.7854251012145749,0.8414634146341463,0.8031104966920115,0.031159689857137036,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.818610235073276,0.8314622902189834,0.7589984799648387,0.7849726040529261,0.8457733957256758,0.80796340100714,0.031690026215535766,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8097165991902834,0.8259109311740891,0.7530364372469636,0.7854251012145749,0.8414634146341463,0.8031104966920115,0.031159689857137036,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8088808509309553,0.8218285031414516,0.7526132384461015,0.7801482721939175,0.8403629126986617,0.8007667554822175,0.031052131913217387,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
88,0.0038655757904052734,0.00023793030331012928,0.1618810176849365,0.016280682357503552,distance,19,92,brute,"{'weights': 'distance', 'n_neighbors': 19, 'leaf_size': 92, 'algorithm': 'brute'}",0.8097165991902834,0.8259109311740891,0.7530364372469636,0.7935222672064778,0.8333333333333334,0.8031039136302294,0.028552637758102684,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8188427894258591,0.8320917292891209,0.7585843192267915,0.7943062629817186,0.8371196814891837,0.8081889564825347,0.028896999047476737,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8097165991902834,0.8259109311740891,0.7530364372469636,0.7935222672064778,0.8333333333333334,0.8031039136302294,0.028552637758102684,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.809685508598289,0.8228587849798187,0.7515172037454022,0.7907697522318549,0.8319920706446733,0.8013646640400076,0.02851768987316687,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,0.009416723251342773,0.008651748002088759,0.16262941360473632,0.032835025175340364,distance,19,79,ball_tree,"{'weights': 'distance', 'n_neighbors': 19, 'leaf_size': 79, 'algorithm': 'ball_tree'}",0.8097165991902834,0.8259109311740891,0.7530364372469636,0.7935222672064778,0.8333333333333334,0.8031039136302294,0.028552637758102684,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8188427894258591,0.8320917292891209,0.7585843192267915,0.7943062629817186,0.8371196814891837,0.8081889564825347,0.028896999047476737,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8097165991902834,0.8259109311740891,0.7530364372469636,0.7935222672064778,0.8333333333333334,0.8031039136302294,0.028552637758102684,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.809685508598289,0.8228587849798187,0.7515172037454022,0.7907697522318549,0.8319920706446733,0.8013646640400076,0.02851768987316687,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
71,0.011007118225097656,0.007652956060819299,0.1590663433074951,0.04998246191792041,distance,15,47,kd_tree,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 47, 'algorithm': 'kd_tree'}",0.8137651821862348,0.8218623481781376,0.7611336032388664,0.7732793522267206,0.8373983739837398,0.80148777196274,0.029256122000914504,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.822823236334301,0.8255552699709144,0.7667925325481089,0.7703339809834054,0.8428921606025525,0.8056794360878564,0.031097388921560474,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8137651821862348,0.8218623481781376,0.7611336032388664,0.7732793522267206,0.8373983739837398,0.80148777196274,0.029256122000914504,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8135728489021034,0.8175020179309925,0.7606165634414752,0.76772355632186,0.8356581558074067,0.7990146284807675,0.0294958167917904,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
62,0.025480175018310548,0.03664647257435266,0.14057936668395996,0.006802727199704197,distance,11,71,brute,"{'weights': 'distance', 'n_neighbors': 11, 'leaf_size': 71, 'algorithm': 'brute'}",0.7935222672064778,0.8218623481781376,0.7651821862348178,0.7894736842105263,0.8373983739837398,0.80148777196274,0.025418803351279613,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8017398767006715,0.8270381855351583,0.7701667552173876,0.791033488412332,0.8440044521455485,0.8067965516022195,0.026114891202147238,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7935222672064778,0.8218623481781376,0.7651821862348178,0.7894736842105263,0.8373983739837398,0.80148777196274,0.025418803351279613,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7934175105739342,0.8179409723508941,0.7648648410027349,0.7845213933004258,0.8360636047187595,0.7993616643893496,0.02505122968085531,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
12,0.0061795711517333984,0.0014305017709402938,0.18111743927001953,0.04384706381444018,distance,15,60,kd_tree,"{'weights': 'distance', 'n_neighbors': 15, 'leaf_size': 60, 'algorithm': 'kd_tree'}",0.8137651821862348,0.8218623481781376,0.7611336032388664,0.7732793522267206,0.8373983739837398,0.80148777196274,0.029256122000914504,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.822823236334301,0.8255552699709144,0.7667925325481089,0.7703339809834054,0.8428921606025525,0.8056794360878564,0.031097388921560474,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8137651821862348,0.8218623481781376,0.7611336032388664,0.7732793522267206,0.8373983739837398,0.80148777196274,0.029256122000914504,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8135728489021034,0.8175020179309925,0.7606165634414752,0.76772355632186,0.8356581558074067,0.7990146284807675,0.0294958167917904,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
