id,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_samples,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
6,1.0505757331848145,0.09111572803942158,0.1297898292541504,0.004250131251251368,104,0.9292929292929293,0.16161616161616163,583,entropy,True,"{'n_estimators': 104, 'max_samples': 0.9292929292929293, 'max_features': 0.16161616161616163, 'max_depth': 583, 'criterion': 'entropy', 'bootstrap': True}",0.7239958805355304,0.7032457496136012,0.723338485316847,0.7305512622359609,0.7413704276146317,0.7245003610633143,0.012446489578820451,1,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7625241468126207,0.7618802318094011,0.7635225235894828,0.001753022506242245,0.719452958784769,0.7263388073931304,0.7253930598755349,0.7405693371827498,0.7395718313413886,0.7302651989155144,0.008352813877939331,1,0.7580998569947959,0.7764680031314716,0.7686761731726157,0.7636653653750495,0.765334521605636,0.7664487840559137,0.0060669530506535785,0.7239958805355304,0.7032457496136012,0.723338485316847,0.7305512622359609,0.7413704276146317,0.7245003610633143,0.012446489578820451,1,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7625241468126207,0.7618802318094011,0.7635225235894828,0.001753022506242245,0.7151992657732542,0.703568042776719,0.716826816608807,0.725852081993585,0.7350384089167754,0.7192969232138282,0.01059296352971396,1,0.7543827565605524,0.763701733273696,0.7607880984518433,0.7555256770190847,0.7553137650588481,0.7579424060728048,0.003652102202087756
17,15.83789882659912,1.0350261974436705,1.5469873428344727,0.2792999535092633,937,0.5707070707070707,0.5151515151515152,180,entropy,True,"{'n_estimators': 937, 'max_samples': 0.5707070707070707, 'max_features': 0.5151515151515152, 'max_depth': 180, 'criterion': 'entropy', 'bootstrap': True}",0.7229660144181257,0.7022153529108707,0.7243688820195775,0.7171561051004637,0.7408552292632664,0.7215123167424607,0.01245608975473258,2,0.7615919629057187,0.7658725048293625,0.7644558918222795,0.7622665808113329,0.7616226658081133,0.7631619212353614,0.0017121526919000951,0.7185749752409416,0.7253717061650682,0.7261639692269254,0.7209248092247001,0.7391189662398209,0.7260308852194913,0.007119167069908607,8,0.7573426795735508,0.775653706694795,0.7675589068289602,0.7580140187500689,0.7651577684819731,0.7647454160658695,0.0067407534687457926,0.7229660144181257,0.7022153529108707,0.7243688820195775,0.7171561051004637,0.7408552292632664,0.7215123167424607,0.01245608975473258,2,0.7615919629057187,0.7658725048293625,0.7644558918222795,0.7622665808113329,0.7616226658081133,0.7631619212353614,0.0017121526919000951,0.714169763288788,0.7015916792606387,0.7172905994081927,0.7093184493123508,0.734545600632021,0.7153832183803983,0.010948017577100027,5,0.754022830170923,0.7630740377764474,0.7598480787117879,0.7534237655987621,0.754980936355054,0.7570699297225949,0.003760602268622556
5,5.057521963119507,0.1291082010578165,0.4811566352844238,0.050909221735526394,534,0.5404040404040404,0.7373737373737375,496,gini,True,"{'n_estimators': 534, 'max_samples': 0.5404040404040404, 'max_features': 0.7373737373737375, 'max_depth': 496, 'criterion': 'gini', 'bootstrap': True}",0.723480947476828,0.7017001545595054,0.7228232869654817,0.7166409067490984,0.7429160226687275,0.7215122636839282,0.01326623671539995,3,0.7610767645543535,0.7653573728267868,0.7643271088216356,0.7620090148100451,0.7612363168061815,0.7628013155638005,0.0017269922742881739,0.7193061625077433,0.7247529516345788,0.7250163221978209,0.7199963172496295,0.7416907033002821,0.7261524913780109,0.008117343414439017,3,0.756951150937647,0.7749217612268245,0.7676296729904479,0.7578098239420699,0.7654897237334939,0.7645604265660968,0.006650005025074229,0.723480947476828,0.7017001545595054,0.7228232869654817,0.7166409067490984,0.7429160226687275,0.7215122636839282,0.01326623671539995,3,0.7610767645543535,0.7653573728267868,0.7643271088216356,0.7620090148100451,0.7612363168061815,0.7628013155638005,0.0017269922742881739,0.7148372762280877,0.7013367704819682,0.7163666790646138,0.7088708034223222,0.7379999355905208,0.7158822929575026,0.012257650795284096,2,0.7535060658423122,0.7625634700353963,0.7599349219088547,0.7531802813984498,0.7557647969494391,0.7569899072268903,0.0036848068821821118
16,20.15695114135742,0.3454630197592925,1.3797990322113036,0.21490547234988813,989,0.9292929292929293,0.5555555555555556,874,entropy,True,"{'n_estimators': 989, 'max_samples': 0.9292929292929293, 'max_features': 0.5555555555555556, 'max_depth': 874, 'criterion': 'entropy', 'bootstrap': True}",0.7245108135942327,0.7042761463163318,0.7187017001545595,0.7181865018031942,0.7408552292632664,0.721306078226317,0.011823474600158078,4,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7198937760825028,0.7269421431001934,0.7215341652440518,0.7236286012437511,0.7391189662398209,0.726223530382064,0.006864375606323742,2,0.7577779445032065,0.7761149861454859,0.7685056106154213,0.758132034790258,0.7655014687053197,0.7652064089519384,0.006858537775758093,0.7245108135942327,0.7042761463163318,0.7187017001545595,0.7181865018031942,0.7408552292632664,0.721306078226317,0.011823474600158078,4,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7157139616993721,0.7046354507531097,0.7123670886779921,0.7098241673395665,0.734545600632021,0.7154172538204122,0.010225605981759393,4,0.7544418172361741,0.7637798425298628,0.7607693380528002,0.7536676890395303,0.7552620647647003,0.7575841503246136,0.003978367261824678
4,6.286100196838379,0.09678526742457413,0.6057266235351563,0.05519916480479102,643,0.8282828282828283,0.9090909090909092,872,gini,True,"{'n_estimators': 643, 'max_samples': 0.8282828282828283, 'max_features': 0.9090909090909092, 'max_depth': 872, 'criterion': 'gini', 'bootstrap': True}",0.7250257466529351,0.7037609479649665,0.7192168985059247,0.7161257083977332,0.7424008243173622,0.7213060251677843,0.012632155359940193,5,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7205336155277687,0.7266241248553461,0.7221057628686648,0.7196364094717539,0.7402730660362584,0.7258345957519584,0.00760940049581579,9,0.7577714205848695,0.7756130447779211,0.7685421691015237,0.7583441447834488,0.7656465846651364,0.7651834727825799,0.006663125555562358,0.7250257466529351,0.7037609479649665,0.7192168985059247,0.7161257083977332,0.7424008243173622,0.7213060251677843,0.012632155359940193,5,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7164769052155582,0.7034135450254173,0.7129646631833911,0.708388158189408,0.7360635045104381,0.7154613552248426,0.011197260513383706,3,0.7544174904240254,0.7634832587605245,0.760753435281336,0.7538922079488725,0.7553332554646168,0.757575929575875,0.003835836562590718
18,16.34840807914734,0.5551053370358017,1.4962803363800048,0.22994818239093992,899,0.8232323232323233,0.7777777777777778,928,entropy,False,"{'n_estimators': 899, 'max_samples': 0.8232323232323233, 'max_features': 0.7777777777777778, 'max_depth': 928, 'criterion': 'entropy', 'bootstrap': False}",0.7229660144181257,0.7022153529108707,0.7207624935600206,0.7181865018031942,0.7418856259659969,0.7212031977316415,0.012654669381447136,6,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7180834100510551,0.7225251800544477,0.7237856362518452,0.72502859604006,0.7410342538065852,0.7260914152407987,0.007830463668593853,4,0.7577080858280121,0.7763973639750084,0.7686719413165582,0.7584833933407863,0.7663295349262562,0.7655180638773242,0.006920215971612542,0.7229660144181257,0.7022153529108707,0.7207624935600206,0.7181865018031942,0.7418856259659969,0.7212031977316415,0.012654669381447136,6,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7140742017980872,0.7024379333158869,0.7137622353523658,0.710228008680606,0.7356602543299342,0.7152325266953761,0.011041216869705321,6,0.7543318491588764,0.7637486099842605,0.7604271258843823,0.7537408174618573,0.7551700185101999,0.7574836841999153,0.003929613428869551
19,4.752434968948364,0.9055809325270664,0.23621659278869628,0.008036959479870487,234,0.5757575757575758,0.5050505050505051,126,entropy,True,"{'n_estimators': 234, 'max_samples': 0.5757575757575758, 'max_features': 0.5050505050505051, 'max_depth': 126, 'criterion': 'entropy', 'bootstrap': True}",0.7245108135942327,0.7011849562081401,0.7223080886141164,0.7171561051004637,0.7408552292632664,0.7212030385560438,0.012770844938440877,7,0.7614631633178773,0.7656149388280747,0.7645846748229234,0.7623953638119768,0.7616226658081133,0.7631361613177932,0.0016661873382179703,0.7213142932107357,0.7247981652749365,0.7244555854569678,0.7205305761564305,0.7391678875799284,0.7260533015357997,0.006768738823912486,5,0.757586462889868,0.775443084421224,0.7678216108070425,0.7578275162739084,0.7651308245279763,0.7647618997840038,0.006680691753889213,0.7245108135942327,0.7011849562081401,0.7223080886141164,0.7171561051004637,0.7408552292632664,0.7212030385560438,0.012770844938440877,7,0.7614631633178773,0.7656149388280747,0.7645846748229234,0.7623953638119768,0.7616226658081133,0.7631361613177932,0.0016661873382179703,0.7158690872860731,0.7004438386501824,0.7157221153614743,0.7092884657384427,0.7344961942360619,0.715163940254447,0.01118702308770363,9,0.7543702966147845,0.7628249350438924,0.7602214695282948,0.7535316221607274,0.754941675358763,0.7571779997412925,0.0036696321261589964
13,4.7641363620758055,0.6719253416933805,0.3212158203125,0.040341422036622866,278,0.5555555555555556,0.9393939393939394,866,gini,False,"{'n_estimators': 278, 'max_samples': 0.5555555555555556, 'max_features': 0.9393939393939394, 'max_depth': 866, 'criterion': 'gini', 'bootstrap': False}",0.723480947476828,0.7022153529108707,0.7202472952086554,0.717671303451829,0.7418856259659969,0.721100105002836,0.012702945475693384,8,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7187716920045062,0.7225251800544477,0.723481168807161,0.7245834422757138,0.7408090925003793,0.7260341151284416,0.007641692979580236,6,0.7577080858280121,0.7763973639750084,0.7686719413165582,0.7584833933407863,0.7663295349262562,0.7655180638773242,0.006920215971612542,0.723480947476828,0.7022153529108707,0.7202472952086554,0.717671303451829,0.7418856259659969,0.721100105002836,0.012702945475693384,8,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7148308074985623,0.7024379333158869,0.7132941857313747,0.7097962285183192,0.7354994187272498,0.7151717147582786,0.011026349566337105,7,0.7543318491588764,0.7637486099842605,0.7604271258843823,0.7537408174618573,0.7551700185101999,0.7574836841999153,0.003929613428869551
8,5.785146284103393,0.44439835584794873,0.6113923072814942,0.04770110207078695,661,0.893939393939394,0.7373737373737375,276,gini,False,"{'n_estimators': 661, 'max_samples': 0.893939393939394, 'max_features': 0.7373737373737375, 'max_depth': 276, 'criterion': 'gini', 'bootstrap': False}",0.723480947476828,0.7022153529108707,0.7202472952086554,0.717671303451829,0.7418856259659969,0.721100105002836,0.012702945475693384,8,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7187716920045062,0.7225251800544477,0.723481168807161,0.7245834422757138,0.7408090925003793,0.7260341151284416,0.007641692979580236,6,0.7577080858280121,0.7763973639750084,0.7686719413165582,0.7584833933407863,0.7663295349262562,0.7655180638773242,0.006920215971612542,0.723480947476828,0.7022153529108707,0.7202472952086554,0.717671303451829,0.7418856259659969,0.721100105002836,0.012702945475693384,8,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7148308074985623,0.7024379333158869,0.7132941857313747,0.7097962285183192,0.7354994187272498,0.7151717147582786,0.011026349566337105,7,0.7543318491588764,0.7637486099842605,0.7604271258843823,0.7537408174618573,0.7551700185101999,0.7574836841999153,0.003929613428869551
9,4.151620578765869,0.29286822122161854,0.3949213981628418,0.05227171712809485,453,0.994949494949495,0.6161616161616162,458,gini,False,"{'n_estimators': 453, 'max_samples': 0.994949494949495, 'max_features': 0.6161616161616162, 'max_depth': 458, 'criterion': 'gini', 'bootstrap': False}",0.723480947476828,0.7022153529108707,0.7207624935600206,0.7171561051004637,0.7413704276146317,0.7209970653325628,0.012560288866862985,10,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7185762985100217,0.7225269758972915,0.7237856362518452,0.7228034990168661,0.7402848550155808,0.7255954529383212,0.0075568916462420916,12,0.7577080858280121,0.7763973639750084,0.7686719413165582,0.7584833933407863,0.7663295349262562,0.7655180638773242,0.006920215971612542,0.723480947476828,0.7022153529108707,0.7207624935600206,0.7171561051004637,0.7413704276146317,0.7209970653325628,0.012560288866862985,10,0.7619783616692427,0.7661300708306503,0.765099806825499,0.7626529298132646,0.7618802318094011,0.7635482801896116,0.0017390548968775042,0.7145976881363143,0.7024071925292233,0.7137622353523658,0.7089658925599367,0.7351359126233479,0.7149737842402375,0.010973920991128665,10,0.7543318491588764,0.7637486099842605,0.7604271258843823,0.7537408174618573,0.7551700185101999,0.7574836841999153,0.003929613428869551
